Instance,M,N,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
NYC_6_400,6,400,1542.91,385.816,28.7454,20000,166.661,5
NYC_6_400,6,400,1591.59,383.179,28.6795,20000,167.844,5
NYC_6_400,6,400,1486.46,372.925,28.4231,20000,161.889,5
NYC_6_400,6,400,1730.94,361.883,28.1471,20000,173.926,5
NYC_6_400,6,400,1730.32,360.642,28.116,20000,163.021,5
NYC_6_400,6,400,1583.1,366.207,28.2552,20000,168.277,5
NYC_6_400,6,400,1782.4,364.795,28.2199,20000,172.585,5
NYC_6_400,6,400,1580.2,360.406,28.1101,20000,164.623,5
NYC_6_400,6,400,1635.86,371.719,28.393,20000,162.963,5
NYC_6_400,6,400,1584.15,368.301,28.3075,20000,160.792,5
NYC_6_400,6,400,1634.02,368.043,28.3011,20000,169.797,5
NYC_6_400,6,400,1543.27,386.538,28.7635,20000,167.587,5
NYC_6_400,6,400,1655.83,411.666,29.3917,20000,169.529,5
NYC_6_400,6,400,1629.66,359.325,28.0831,20000,158.361,5
NYC_6_400,6,400,1679.37,358.736,28.0684,20000,170.119,5
NYC_6_400,6,400,1636.33,372.65,28.4163,20000,164.734,5
NYC_6_400,6,400,1680.41,360.812,28.1203,20000,168.893,5
NYC_6_400,6,400,1596.5,392.991,28.9248,20000,170.591,5
NYC_6_400,6,400,1588.27,376.536,28.5134,20000,167.07,5
NYC_6_400,6,400,1547.5,394.993,28.9748,20000,163.998,5
NYC_6_400,6,400,1494.44,388.882,28.822,20000,184.631,6
NYC_6_400,6,400,1545.07,390.132,28.8533,20000,178.787,6
NYC_6_400,6,400,1539.78,379.563,28.5891,20000,177.765,6
NYC_6_400,6,400,1553.25,406.507,29.2627,20000,179.451,6
NYC_6_400,6,400,1442.9,385.804,28.7451,20000,174.04,6
NYC_6_400,6,400,1451.71,403.411,29.1853,20000,181.422,6
NYC_6_400,6,400,1446.4,392.803,28.9201,20000,175.183,6
NYC_6_400,6,400,1495.01,390.029,28.8507,20000,177.995,6
NYC_6_400,6,400,1495.4,390.792,28.8698,20000,174.7,6
NYC_6_400,6,400,1448.41,396.825,29.0206,20000,176.018,6
NYC_6_400,6,400,1406.6,413.203,29.4301,20000,174.23,6
NYC_6_400,6,400,1548.76,397.515,29.0379,20000,176.739,6
NYC_6_400,6,400,1495.76,391.519,28.888,20000,177.285,6
NYC_6_400,6,400,1485.98,371.966,28.3992,20000,179.352,6
NYC_6_400,6,400,1451.88,403.758,29.194,20000,174.492,6
NYC_6_400,6,400,1445.87,391.736,28.8934,20000,179.531,6
NYC_6_400,6,400,1550.3,400.605,29.1151,20000,177.161,6
NYC_6_400,6,400,1446.72,393.447,28.9362,20000,175.679,6
NYC_6_400,6,400,1410.9,421.799,29.645,20000,173.367,6
NYC_6_400,6,400,1446.92,393.85,28.9462,20000,175.56,6
NYC_6_400,6,400,1204.07,508.147,31.8037,20000,279.384,7
NYC_6_400,6,400,1216.42,532.838,32.4209,20000,238.679,7
NYC_6_400,6,400,1198.81,497.629,31.5407,20000,227.704,7
NYC_6_400,6,400,1201.49,502.976,31.6744,20000,468.336,7
NYC_6_400,6,400,1216.48,532.963,32.4241,20000,243.48,7
NYC_6_400,6,400,1194.35,488.694,31.3173,20000,198.021,7
NYC_6_400,6,400,1232.12,464.24,30.706,20000,337.445,7
NYC_6_400,6,400,1234.41,468.812,30.8203,20000,366.31,7
NYC_6_400,6,400,1214.12,528.243,32.3061,20000,265.546,7
NYC_6_400,6,400,1187.13,474.262,30.9565,20000,230.373,7
NYC_6_400,6,400,1196.01,492.016,31.4004,20000,334.887,7
NYC_6_400,6,400,1248.05,496.091,31.5023,20000,333.89,7
NYC_6_400,6,400,1239.41,478.825,31.0706,20000,320.776,7
NYC_6_400,6,400,1183.23,466.458,30.7615,20000,331.309,7
NYC_6_400,6,400,1200.73,501.463,31.6366,20000,328.314,7
NYC_6_400,6,400,1226.39,452.779,30.4195,20000,224.835,7
NYC_6_400,6,400,1204.57,509.138,31.8285,20000,221.704,7
NYC_6_400,6,400,1187.26,474.522,30.963,20000,369.548,7
NYC_6_400,6,400,1215.89,531.788,32.3947,20000,202.007,7
NYC_6_400,6,400,1205.58,511.15,31.8788,20000,248.9,7
