Instance,M,N,Objective,Distance,Time,Flag,Gap,ElapsedTime
1_5,1,5,82.3347,64.6694,2.04174,1,0.00%,0.180871
1_6,1,6,144.559,89.1171,2.69459,1,0.00%,0.673678
1_7,1,7,77.1367,54.2733,1.86517,1,0.00%,0.721308
1_8,1,8,149.025,98.0493,3.15123,1,0.00%,1.5225
1_9,1,9,137.256,74.5128,2.56282,1,0.00%,4.40966
1_10,1,10,147.943,95.8851,3.14713,1,0.00%,21.8085
1_11,1,11,154.887,109.775,3.51937,1,0.00%,14.2178
1_12,1,12,208.142,116.285,3.94879,1,0.00%,37.8833
1_13,1,13,207.915,115.83,3.88742,1,0.00%,56.7207
1_14,1,14,221.861,143.721,4.65137,1,0.00%,690.871
1_15,1,15,208.539,117.079,3.91863,1,0.01%,821.453
1_16,1,16,214.594,129.189,4.33806,1,0.01%,4608.24
1_17,1,17,289.754,179.508,5.80436,1,0.01%,5101.37
1_18,1,18,261.152,122.304,4.36592,0,3.64%,7200.08
1_19,1,19,222.126,144.251,5.03962,0,4.78%,7200.07
1_20,1,20,277.63,155.261,5.37318,0,20.33%,7200.07
2_5,2,5,75.5919,51.1838,1.55459,1,0.00%,0.169971
2_6,2,6,68.4019,36.8039,1.3701,1,0.00%,0.171274
2_7,2,7,123.973,47.9462,1.63199,1,0.00%,0.315382
2_8,2,8,78.4441,56.8882,2.00554,1,0.00%,0.187878
2_9,2,9,76.9759,53.9518,1.89879,1,0.00%,0.564696
2_10,2,10,89.0347,78.0695,2.57674,1,0.00%,20.8193
2_11,2,11,88.7719,77.5438,2.6136,1,0.00%,52.5892
2_12,2,12,139.202,78.4043,2.81011,1,0.00%,6.63337
2_13,2,13,141.528,83.0556,3.07639,1,0.01%,2626.55
2_14,2,14,143.885,87.7693,3.1859,1,0.00%,68.1873
2_15,2,15,140.127,80.2533,2.923,1,0.00%,103.534
2_16,2,16,142.732,85.464,3.14493,1,0.00%,128.37
2_17,2,17,142.09,84.1801,3.2545,1,0.00%,355.58
2_18,2,18,150.121,100.243,3.67274,1,0.00%,970.441
2_19,2,19,260.083,120.166,4.28747,0,0.85%,7200.08
2_20,2,20,155.571,111.142,3.97022,1,0.01%,6969.84
3_5,3,5,70.7504,41.5007,1.42918,1,0.00%,0.329052
3_6,3,6,131.693,63.3858,1.98465,1,0.00%,1.22035
3_7,3,7,75.158,50.3161,1.59957,1,0.00%,1.26687
3_8,3,8,127.795,55.5907,1.93977,1,0.00%,2.99702
3_9,3,9,126.755,53.5098,1.95441,1,0.00%,1.93688
3_10,3,10,139.567,79.1349,2.6117,1,0.00%,27.5183
3_11,3,11,128.049,56.099,2.17747,1,0.00%,8.17801
3_12,3,12,139.369,78.738,2.68512,1,0.00%,195.383
3_13,3,13,131.445,62.8907,2.4306,1,0.00%,14.5635
3_14,3,14,139.758,79.5162,2.72124,1,0.00%,23.0205
3_15,3,15,193.277,86.5535,3.26384,1,0.00%,264.827
3_16,3,16,146.99,93.9797,3.40783,1,0.01%,942.445
3_17,3,17,195.446,90.8929,3.40566,1,0.00%,1517.32
3_18,3,18,197.599,95.1974,3.5216,1,0.00%,888.736
3_19,3,19,196.829,93.6571,3.61643,1,0.01%,728.266
3_20,3,20,197.101,94.2014,3.43004,1,0.01%,1609.81
4_5,4,5,67.3024,34.6048,1.19012,1,0.00%,0.175232
4_6,4,6,78.0244,56.0488,1.75122,1,0.00%,0.297915
4_7,4,7,78.1791,56.3583,1.86729,1,0.00%,0.56935
4_8,4,8,69.6393,39.2787,1.5403,1,0.00%,1.41156
4_9,4,9,133.777,67.5543,2.26386,1,0.00%,2.19194
4_10,4,10,135.094,70.187,2.32134,1,0.00%,3.61644
4_11,4,11,131.347,62.6934,2.29233,1,0.00%,58.921
4_12,4,12,132.337,64.6747,2.46687,1,0.00%,32.472
4_13,4,13,137.106,74.2122,2.76364,1,0.00%,29.9121
4_14,4,14,188.982,77.9643,2.98244,1,0.00%,74.0819
4_15,4,15,139.143,78.2859,2.89881,1,0.00%,194.502
4_16,4,16,141.963,83.9254,3.20647,1,0.00%,187.174
4_17,4,17,140.538,81.0761,3.01857,1,0.00%,193.257
4_18,4,18,143.261,86.5212,3.17136,1,0.00%,145.963
4_19,4,19,196.391,92.7819,3.56955,0,26.39%,7200.08
4_20,4,20,196.163,92.3251,3.59146,0,25.92%,7200.09
